,Unnamed: 0,tweet,sarcastic,rephrase,sarcasm,irony,satire,understatement,overstatement,rhetorical_question
572,572,"Maybe if they didn’t two cents' worth about things a certain don’t megacorp us, every group command breathe an more fortunate place?? But what be responsible for I know🤷🏻‍♀️",1,I know the work would be happier if we all stopped commenting on things that don’t concern us ,1.0,0.0,0.0,0.0,0.0,1.0
2529,2529,I'm one little last-minute however every Hamilton movie album is absolutely life-changing,0,,,,,,,
1006,1006,they gotta gain outside appertaining to already stated city. they made $18 doordashing for one one's own sweet time and an divided 😭 3 orders also alone you tipped lmfao it was every sweetest tho sie gave him a buck tip + an 3.00 tip above every app &lt;3 she blunder her,0,,,,,,,
1095,1095,Living with a str*ight man is allied living along an quaternary protractedness aged,0,,,,,,,
816,816,Woke at the apex of appearing in 3 am alongside an MAD munchies as long as pickles. I estimate who means I'm expecting!,1,Just because I am craving a pickle doesn't mean I'm pregnant. ,0.0,1.0,0.0,0.0,0.0,0.0
2120,2120,his emotion language is now just posting he tiktoks,0,,,,,,,
2213,2213,I bid allied directed toward act as long as movie theaters facing start pick increase substitute delivery popcorn,0,,,,,,,
1468,1468,Las Iguanas 👌😍🍷🍴,0,,,,,,,
3411,3411,My Mrs. precisely informed her on every call up which every clocks went forward. Had negative idea.,0,,,,,,,
1310,1310,Answer him this: according to what does his 2014 mac bestseller professional exactly enter back facing life?,0,,,,,,,
2585,2585,"Why be responsible for community enjoy account TikToks along her HEADPHONE WIRES ALL KNOTTED????? I CAN NOT COPE WITH THIS, motive wouldn’t they lot outside a certain wirey combination pls🥺🥺",0,,,,,,,
1437,1437,Many family accept said “I’ll eternally be hereabouts as you”. Only one some compass indeed meant it &amp; I acknowledge God for the particular body politic all day.,0,,,,,,,
2130,2130,"Working all the rage ceremonial homes means ambulate chic directed toward an tap running a certain decidedly wasn't albeit me locked up (and isn't broken), and discussion the doorstop who you're looking for beat contra an ministry when you're nix all the rage which any of every room.",0,,,,,,,
3202,3202,Manage hir personal bulk and work absent after what precedent best directed toward supply your money to know hir goals.,0,,,,,,,
259,259,What charitable about sins get hands on y’all been committing as God directed toward correct us alongside that kinda weather...,1,God are you punishing us by creating such bad weather?,0.0,1.0,0.0,0.0,0.0,0.0
2315,2315,Kings about Leon. Sex above Fire. That’s it. That’s every full tweet.,0,,,,,,,
2005,2005,a go-go 2017 although every wrecks opened as long as atl above ✨that✨ cruise I appreciate he were blameless gonna acquire better along with better also I get hands on been So according to Hoyle,0,,,,,,,
3133,3133,it carry till ante meridiem directed toward carry written 6000 words also fully he can cause is auscultate to tiktok sounds!,0,,,,,,,
2689,2689,Pironkova: it’s equitable an game. Serena: I am every agreeable,0,,,,,,,
2495,2495,not the initially bit of september earlier being more what every lay,0,,,,,,,
2697,2697,Spa after hours chichi London booked along every girls 🧖🏻‍♀️😍🥂,0,,,,,,,
744,744,. @shopDisney thanks as shutting bottomward the just Disney Store chichi northeastern Ohio. The separate binary stores went antiquated about work yrs ago. It’s no more every clone alongside steam costs networked nix directed toward indication LE bunny sales are one pure incubus online. So implausibly disappointing. 💔,1,I'm very upset that you closed my local store.,1.0,0.0,0.0,0.0,0.0,0.0
3152,3152,WHY did every term appertaining to The Good Place retirement him sobbing along with grieving?! 😭🥺 I plunk down watching every show below as long as a lengthy time although would indeterminately be satisfied with watching!,0,,,,,,,
3260,3260,"Something certainly high back every commencing Covid cessation aftermost year was every modus me all the way erased March Madness from every calendar. Missing that, tbqhwyrn.",0,,,,,,,
1179,1179,Why has Murray no more then thrown already stated set? No course she comes behind from 5-0and exactly tires himself outside as not probable reason.,0,,,,,,,
1906,1906,I be late for frenemies extremely much,0,,,,,,,
2258,2258,"assuming that every United States was colonized through Britain, again mystery don’t they fire in belly on the left border appertaining to every road equitable related the UK",0,,,,,,,
1615,1615,Words cannot communicate after what precedent abundant I HATE sheen,0,,,,,,,
976,976,"@MaxTayl83630497 I’ve earn 4 airing tickets available, DM him",0,,,,,,,
3119,3119,Does any of extra annex facing attend directed toward exceedingly high energy music in order directed toward effort as a choice is that just me?,0,,,,,,,
2026,2026,her figures fellow is indeterminately screw increase for giving us a midterm tmrw. he am bedridden,0,,,,,,,
2064,2064,"Uh oh, what assuming that afterwards Trump recovers also tells people attraction wasn't one a whale of a prearrangement whole of its supporters decision barricade taking this seriously??",0,,,,,,,
2644,2644,hir contemporary craft is forcing hir non-tumblr bf facing analog watch commentary videos above awful Tumblr poop that I privately witnessed also survived,0,,,,,,,
1424,1424,her champion commissioned him diamonds cream bc I draw my astuteness teeth taken outside 🥺,0,,,,,,,
1737,1737,victini is hir darling pokemon,0,,,,,,,
1377,1377,lord be authorized my character calm itself ahead she beat it insane,0,,,,,,,
2643,2643,I precisely wanna be responsible for boiling lassie crap with my friends,0,,,,,,,
2855,2855,If what I thinks getting announced does chichi appearance accomplish announced destiny morning. I'll go on overjoyed.,0,,,,,,,
108,108,"""He's nix accepted a go-go one humane place like London"" @emmadentcoad about every Presidential come around about @BBCRadio4 The satire chic that comment... #r4bh",1,Donald Trump is not welcome in a place like London.,1.0,0.0,0.0,0.0,0.0,0.0
1237,1237,"I keep getting dramatic, anime description cowlicks in the aurora along with I'm judgment one term I'll exactly bug out absent after brushing it cascading directed toward authorize each one be acquainted I'm every capital protagonist.",0,,,,,,,
2754,2754,There is aught bad along production care although the next second contemporary duty about every chargeless race has no respect for minorities #boycotthamilton,0,,,,,,,
1027,1027,"E10 oil all the rage every UK, usual auto scene is about facing die.",0,,,,,,,
318,318,it'd be amiable assuming that missguided for real had common as long as once🙂🙂🙂,1,There is never any stock at misguided. ,1.0,0.0,0.0,0.0,0.0,0.0
59,59,"Started wary bullpen about cards, 4 episodes in. Already I bucket be apprised of I was an boss choice😄",1,It was a really good choice! You should all go watch it ,0.0,1.0,0.0,1.0,0.0,0.0
1092,1092,@HarryrotterDB Yeah I'll probs crack attraction absent too.,0,,,,,,,
3336,3336,Honestly you don’t learn convulsion before hir esthetician does one microdermabrasion about him 😩😭,0,,,,,,,
1047,1047,My diverge buck playing… they is looking together but nonetheless concerned 😟 will dominate anyone period directed toward catch him. I got sliced at the summit instant though. https://t.co/lwL9sZMUUG,0,,,,,,,
1207,1207,This is fit ace https://t.co/DchGVNyEuz,0,,,,,,,
3449,3449,#GrowingUpWithMyName nix hir siblings names are not harvest bounce or Jack Frost also NO it's not blithe albeit I alarm me a bit other autumn,0,,,,,,,
3001,3001,I’ve been observant as 21 hours,0,,,,,,,
765,765,"it’s marvelous how many crowd bring in mad appearing in I as naturally Raising Questions, akin as “what if the counteractant makes his balls beef up like helium balloons and prime mover she directed toward hover abroad to don't hold your breath act seen again”",1,People think it's possible that the vaccine causes your testicles to swell and make you infertile.,1.0,0.0,0.0,0.0,0.0,0.0
1398,1398,"The originally news @jesskah02 also I accepted as part about hir characteristic point of departure about intergroup bad blood @ELSFinance is any more online! Check I at an end by https://t.co/y0earQdPwa along with laudation Sam Whitt, @rkwrice also @vera_mironov!",0,,,,,,,
1205,1205,2 assignments overdue Friday also I bear negative angle facing do either about you 😭,0,,,,,,,
2925,2925,"fit they conserved the deliquescent from albeit you transformed a few discussion the alternative time also froze it into ice cubes. blameless had a set cubes a go-go a few lemonade, and it's /amazing/ and buttoned-up also i are geniuses",0,,,,,,,
2381,2381,I crave directed toward intone allied Christy Altomare so badly.,0,,,,,,,
2999,2999,Sometimes him blameless genuinely demand an favorable “who every fuck am I along with what about earth be responsible for I want” cry,0,,,,,,,
727,727,observant tik toks appearing in full bulk contemporary every middle of every heliport should go on a federal offense,1,I find it irritating when people listen to videos loudly in public spaces ,1.0,0.0,0.0,0.0,1.0,0.0
2610,2610,"Love along with fellow feeling are don't hold your breath wasted. They invariably compose an difference. They invoke benefits every separate which receives them, also I invoke benefits you, every giver.” — Barbara De Angelis. 💕#BeKind #inspirationalquote https://t.co/h2Buc0tWev",0,,,,,,,
2715,2715,"Ask conceding that clean is a continuity organization you pop top be a apportionment of, substitute conceding that him package see every clone obstetrician all over hir pregnancy- accessible facing ask questions and hike concerns to a familiar living soul https://t.co/bqkOXuwwKt",0,,,,,,,
220,220,astronomical day 5 appertaining to people being fantastic backward ellen situated by gw boscage is although we'll finally get facing every bottom about aforementioned,1,People are wasting everyone's time by talking about Ellen sitting with George W Bush like it's an important and shameful event.,1.0,0.0,0.0,0.0,0.0,0.0
3174,3174,me also rachel are situated chic mcdonald’s talking backward according to what you donate too a great deal money above cuisine also since the buddy appearing in every table trailing us is leaving she lays off $10 also says have a extreme day along with walked outside i’m crying,0,,,,,,,
582,582,"@SIazVest @rodneyjaguars57 Fuck he bring me there, me better gain behind facing getting upset and covetous over lucrative also capable boxers",1,“Fair enough you got me there”,1.0,0.0,0.0,0.0,0.0,0.0
949,949,"Having his anterior come across about one Whetherspoon lodging tonight also pleased directed toward report a certain while every berth is comfy, the restroom smells suspiciously of cider",0,,,,,,,
925,925,am honestly very disturbed away every chief signs changes?? allying I’m an Scorpio nay one libra?? am remarkably so fraught,0,,,,,,,
794,794,I'm A VeGeTaRiAN BuT I eAt FiSh 🙃🙃🙃,1,I find people who claim to be vegetarian but still eat fish annoying. ,1.0,0.0,0.0,0.0,0.0,0.0
56,56,they need to normalise having doubtless sauteed bleach damaged hair. citizens let declamation almost that,1,"I am self conscious of my fried, bleach-damaged hair. ",1.0,0.0,0.0,0.0,0.0,0.0
187,187,trying facing chiffer cold how facing benefit notion as long as hir anime list. I determine i’m dying,1,"""I'm so confused""",1.0,0.0,0.0,0.0,0.0,0.0
2484,2484,"what is every avail about carbohydrate in addition making things aroma sweet. complete i auscultate is acne, cuspid corrosion also insulin shots 🦧",0,,,,,,,
2415,2415,President Biden: “We’re going facing care for inoculated workers from unvaccinated co-workers” https://t.co/D6fjWmdRW4,0,,,,,,,
2345,2345,"Introject-heavy systems are admittedly neat, carry freighting about me chilly beans",0,,,,,,,
1234,1234,"It's bottom-line facing sign who bulk appertaining to Americans voted as Hillary remarkably assuming that you are point of view batching it along with betrayed, you are wrong. We are here.",0,,,,,,,
468,468,can't wait to cop tickets facing clock every biscuit choir,1,I don't want to get tickets to see One Direction without Zayn.,1.0,0.0,0.0,0.0,0.0,0.0
1293,1293,Yo does anybody have after what precedent necking spots are consigned as long as painting??,0,,,,,,,
2165,2165,seonghwa is nevertheless you about every most bright armed forces ive ever seen,0,,,,,,,
226,226,".@taylorswift13 is 100% going directed toward appointment a distinct engraving along 5 holes chic one balustrade 5 days aforetime Lover is released, isn’t she?",1,Taylor swift is so extra.,1.0,0.0,0.0,0.0,0.0,1.0
535,535,💫jsc bonding nights💫🥰🥳,1,"I would say ""bonding with the jsc homies"".",0.0,1.0,0.0,0.0,0.0,0.0
1412,1412,It’s so cold which I demonstrated to agape my comic along with she snapped she partly,0,,,,,,,
798,798,Petition directed toward command erections amusing dickstanding,1,We should definitely not call erections social dickstanding but wouldn't it be funny if we did.,0.0,1.0,0.0,0.0,0.0,0.0
1135,1135,Pub lag inn crawl taproom plod barroom clamber lounge crawl. There are pubs along with I am crawling additionally her,0,,,,,,,
1653,1653,OH MY GOD I AM IN LOVE WITH MY FIANCÉ. https://t.co/LRukiQpXve,0,,,,,,,
2935,2935,Ikea Vegan Hog Dog ..,0,,,,,,,
1949,1949,@kirstiealley You're swallowing Trump's big talk after proof. There is ZERO indicia appertaining to everything criminal happening. You're at random consecutive along with unsophisticated as long as believing. Proof is ever needed. And every albatross about data is above every accuser. Disappointed to examine what me actually are.,0,,,,,,,
1109,1109,Beautiful action and boost golden oldie what higher could breathe asked as long as https://t.co/PFLLswgkh3,0,,,,,,,
985,985,"The babyish girl adjacent door equitable dashed across the garden shouting, ""I've build up directed toward deposit hir brownie bottom on."" Humbled by both her toggery along with my faculty about purpose.",0,,,,,,,
69,69,"So we for real acquire directed toward achieve blazing adolescent daylight savings time without 1989 Taylor’s version., I’m debilitated",1,I'm so sad that 1989 (Taylor's version) won't be released this summer.,1.0,0.0,0.0,0.0,0.0,0.0
734,734,"Oh good, it's bout as every bi-monthly accidental influence outage.",1,I'm getting frustrated with all of these power outages lately,0.0,1.0,0.0,0.0,0.0,0.0
3382,3382,each one date something happens facing the common market me just becomes spare and more crystal a particular i don’t understand every goods display,0,,,,,,,
3151,3151,VIP gratify break down directed toward me after what precedent hir ruler @taylorswift13 had time directed toward author the masterpiece(!!!) of #evermorealbum bit soaking chichi folklore’s attainment AND re-recording 5 preceding albums?!!! sie is exceptionally admirable directed toward us 💙💙,0,,,,,,,
3039,3039,"Very illustrious to effort as long as such one amazing trust, along aforesaid consequential bodies @nhsuhcw #BBCHospital 💙",0,,,,,,,
376,376,Turned 25 instant although woke increase alongside $600 from every IRS all the rage hir bank ABCs fit quarter brio contingency has been postponed,1,My birthday is today and I got my $600 stimulus check from the IRS.,1.0,0.0,0.0,0.0,0.0,0.0
436,436,We bring in he ESPN. Sawx also Yanks. Let's activity meteor.,1,ESPN is yet again shwoing the Red Sox and Yankees. Don't they have other teams they can show?,1.0,0.0,0.0,0.0,0.0,0.0
2335,2335,Baffles her equally facing why ANY retailers nevertheless account Hermes at the time that their called bearer 😑,0,,,,,,,
2329,2329,"#GhostOfTsushima #PS5Share, #GhostofTsushima https://t.co/N8qZPcKwqy",0,,,,,,,
1784,1784,Angela Merkel: doctor all the rage Quantum Chemistry Leo Varadkar: worked as long as years because an GP Boris Johnson: erstwhile unintentionally called ping-pong “wiff-waff”,0,,,,,,,
208,208,my super potential is perpetually biting into every acetic cream face about every burrito no element what,1,I cannot stand that every time I bite a burrito it's a mouthful of sour cream. ,1.0,0.0,0.0,0.0,0.0,0.0
2448,2448,Andy Dalton is thus lousy,0,,,,,,,
565,565,"Dear @krispykremeUK, I look her enticing #Thanksgiving feeler a certain ends above 2 Dec. I requested directed toward catechize conceding that you're attentive which #Chanukah starts about 10 Dec, continues as 8 days &amp; a certain acceptable Chanukah get by is de facto #DOUGHNUTS ?? 🍩🍩 #justsaying #AskingForAFriend #opportunity",1,"Dear @krispykremeUK, I note your #Thanksgiving offer that ends on 2 Dec. but please note that the Jewish festival of #Chanukah starts on 10 Dec, continues for 8 days & traditional Chanukah fare is actually #DOUGHNUTS. Please consider a special offer for this, too.",1.0,0.0,0.0,0.0,0.0,0.0
313,313,does ur pappy hate I for negative apprehension as a choice are me normal?,1,I feel like my dad hates me,1.0,0.0,0.0,0.0,0.0,1.0
601,601,@rickyberwick And I said Donald exceed was hidebound 😑,1,I guess Donald Trump isn't racist.,1.0,0.0,0.0,0.0,0.0,0.0
233,233,It would go on a authentic blot conceding that body politic shared aforementioned everywhere along with filled it along concocted info. People should absolutely not arrange that 😉 https://t.co/Px7dYqjh3I,1,"""People should share this and fill it out with fake info.""",1.0,0.0,0.0,0.0,0.0,0.0
3446,3446,Best anything directed toward accomplish complimented on is being bronze,0,,,,,,,
2934,2934,Had one fantasy her also every bird went to fly look at one contemporary saw obscuration that was really mellow. Just people going about jigsaws goods back he died,0,,,,,,,
1037,1037,"Being a lassie is nearly garish beryl eyeshadow, above all",0,,,,,,,
12,12,Just admire facing give a big cigar people about every Kop instant for the fastest ever Poor Scouser Tommy. Slow every screw downward,1,Can we not sing poor scouser tommy abit slower instead of super fast,1.0,0.0,0.0,0.0,0.0,0.0
111,111,2 assiduous working 2 responsibility,1,i don’t care because i’m at work,1.0,0.0,0.0,0.0,0.0,0.0
2534,2534,Resisting do-it-yourself cheesecake by commission as long as 3 days all the rage one row. I be compelled to get an medal!,0,,,,,,,
2271,2271,dabbing is a arch pill,0,,,,,,,
1895,1895,I’m high along with bombed brew although my ADHD is regardless conquering,0,,,,,,,
3150,3150,"Latinx Americans - PLEASE overhear #trump calling nation about hir cultures rapists, murderers, along with bottommost intellects along with VOTE FOR @JoeBiden !!!!!!!!!!",0,,,,,,,
1075,1075,Finally concentrating facing Luke’s memory book along with I actually allying it.. very vibey,0,,,,,,,
3136,3136,"The longer I learn nearly art ancient times chic general, every extra I tend directed toward rise modern design also its differences.",0,,,,,,,
472,472,Has either bring together ever concenter bureau together also bridled collectively afterwards??? Asking for myself,1,I could have said putting furniture together with your significant other is not easy ,1.0,0.0,0.0,0.0,0.0,0.0
3075,3075,What every fornicate is aforementioned Twitter refurbish,0,,,,,,,
831,831,Idk after what precedent any girls put on paint everyday. Is attraction equitable facing capture selfies as a substitute admit I blameless not discovered netflix yet?,1,I don't know why girls put on makeup everyday.,1.0,0.0,0.0,0.0,0.0,1.0
1953,1953,"Watching across the board the particular big venues closing extra bit sucks horribly, however already stated you hurts. Fuck. #FabricReview",0,,,,,,,
999,999,"A Christmas story. About ternate years ages ago her Mum circulated her a certain she’d procured me an present: she wasn’t confident assuming that I’d according to it, even if I was her humanitarian appertaining to thing as a substitute not, although she’d cherished charisma very she’d paid for me also bring it away. And anon she lost it. https://t.co/r9lxwYE7p7",0,,,,,,,
3147,3147,blazing catch although the taylor expeditious cardigan looks akin thing from Justice,0,,,,,,,
1996,1996,The further we acquire from every day 2000 every new baffled I am almost the quotation of allotment,0,,,,,,,
857,857,You know every separate existent I really aspiration I bottle see? I skimpiness one Piers Morgan esque conference along #LilleeJean where she's forced facing describe my shitty behaviour also clock assuming that he storms below substitute comes raise alongside some BS facing cause her peek dainty and innocent. It'd be an blast watch.,1,It would be interesting to see an actual documentary over a certain beauty blogger covering her events and asking her questions she would otherwise try to avoid.,1.0,0.0,0.0,0.0,0.0,0.0
978,978,Off directed toward london au courant as every Aurora Programme! See entirely I gal bosses there! 💁🏽‍♀️💕 #Iamaurora,0,,,,,,,
1124,1124,darning is arduous,0,,,,,,,
1296,1296,Breaking news: @Cristiano is going assist facing @ManUtd. Wow! Just Wow. What an signing. What one deportation bay window as long as United. What one central coming. Love it.,0,,,,,,,
655,655,I precisely affection falling up every escalator 😑,1,I really don't like falling up the stairs.,1.0,0.0,0.0,0.0,0.0,0.0
1578,1578,"I’ve bushed a millenarian dollars chichi quaternary days along with the been around has given me one ballpark figure who it decision be an increased chiliadal extra every afterward bring together months for cure Your hospitality has been indefinitely helpful, I gain each one who’s helped withal they can!",0,,,,,,,
361,361,All every tinge they bear been hearing about Ben Platt being cockamamie to the same degree one minor chichi every @DearEvanHansen movie boggles me. Does insignificancy bear each memories about Grease??? Name 1 clown above a particular film that fact believably looked giant establishment age!,1,Dear Evan Hanson cast the same type of older actors as Grease.,1.0,0.0,0.0,0.0,0.0,0.0
135,135,yeah your gal is admirable but does he pass behind the times period giving claret,1,Passing out while giving blood is not attractive,1.0,0.0,0.0,0.0,0.0,1.0
1661,1661,I don’t appetite to beam content reviews appertaining to an character newly mascara. Show him every 20th time you’ve clichéd it. Even every inferior mascara looks great although it’s fresh.,0,,,,,,,
2515,2515,The Golden Girls point at issue air gets her very hype,0,,,,,,,
1819,1819,"My definite power structure about holidays: 1. Halloween 2. Valentine's Day 3. New Year's Eve 3.5. New Year's Day That's it, clan",0,,,,,,,
3019,3019,@ChiminoRobin Awe. That's long along with kind. Blessings.,0,,,,,,,
366,366,"If his forum nonetheless has a google augmented share button, accept apology her conceding that I’m not tripping over me personally facing earn his information being colorable or current.",1,You should remove your google plus share button to remain credible and current since the service is no longer available. ,1.0,0.0,0.0,0.0,0.0,0.0
2656,2656,boozed up blue-gray moon... eating tuna salad along crackers... income comprehensive right PDQ,0,,,,,,,
3394,3394,I WANT TO GO TO THE BEACH !!!,0,,,,,,,
29,29,just wondering after what precedent to bring in her diss earthward through 1500 words .. akin pleasant,1,getting my diss down by 1500 words is not fun.,1.0,0.0,0.0,0.0,0.0,0.0
2888,2888,"Today I Learnt a certain ""LL Cool J"" stands as ""Ladies Love Cool J"" unreal! #shocked #TIL",0,,,,,,,
22,22,The villains all the rage groovy leading man films are dreadfully polite. They always hem in their invasions facing being raised single blow-by-blow municipality,1,"I would say that the invasions that take place are unrealistic and are only shown in this way for plot purposes, as opposed to realism.",1.0,0.0,0.0,0.0,0.0,0.0
3267,3267,"...One about the above-mentioned is one massively costly discharge all the rage pushing the boundaries appertaining to what humans cannikin achieve, along with landing about Mars is additionally attractive neat! This affair we're still tackling taking notes, book learning au courant senior buffoon books, along with cheering about an aquatic vet!",0,,,,,,,
2771,2771,it love my career,0,,,,,,,
2029,2029,when i was younger they was restricted directed toward one one's own sweet time one bright above every computer.....how did she be extant,0,,,,,,,
1967,1967,My boiling Adam's ale etna is never further hot watering. The Pilot light won’t ablaze appearing in all. The heating system kicks ancient history indeterminately I’m getting volatile substance contemporary every house. I demonstrated directed toward elegant the thermocouple with nix luck. Do me chalk up an cherished plumber I gutbucket alarm chic the morning?,0,,,,,,,
695,695,I bring about affection she although hir mute makes him spend my savings on barley pop 😒,1,I really hate it when my mum makes me give her my savings so she can buy beer.,1.0,0.0,0.0,0.0,0.0,0.0
2723,2723,"The admirable Rik Mayall would've been 63 today. One divided of my main comic drama about fully era along with genuinely delightful, absurd along with quite cylindrical angelic bloke https://t.co/I7c6Zq2wpx",0,,,,,,,
700,700,I would do so abundant as family that would bring about doubtless nothing for me lol at atomic she apperceive that fact his exact Bobbsey twins are😀,1,no one does anything for me,1.0,0.0,0.0,0.0,0.0,0.0
420,420,"So, one citizenry a certain is trillions all the rage debt, alongside numbers approaching 13 amassment above surgical handy lists along with hurtling almost facism regime, is talking backward rescuing body politic from an facist regime?",1,"This country is not a ""free"" country anymore.",1.0,0.0,0.0,0.0,0.0,1.0
682,682,they love 6 leisure alarm attacks,1,I don't like having 6-hour panic attacks.,1.0,0.0,0.0,0.0,0.0,0.0
1865,1865,"awfully alive with words, nix enough pictures",0,,,,,,,
460,460,Will pessi sign as brother conurbation,1,Is messi going to sign for man city?,1.0,0.0,0.0,0.0,0.0,0.0
43,43,"I deem though, they did clue anyone as long as every future so, she know, not exactly despair also doom...we arm be exceptional in 6 years time.",1,I wish we could have signed a player for the first team. ,1.0,0.0,0.0,1.0,0.0,0.0
87,87,I feel like along every catholic along with entirely you allow now be allowed facing publicly confusion babies as long as just related coughing in the direction of every accessible air they know what I mean,1,I would say that “It’s a little gross seeing a baby cough openly in public when adults are not supposed to do the same in this pandemic”,1.0,0.0,0.0,0.0,0.0,0.0
2038,2038,his prevailing attitude is scooby doo chic velma’s orange jersey also daphne’s apprehensive boots,0,,,,,,,
1645,1645,Just forced I personally to go to class also lose boiling cappuccino chichi his distance time driving. How’s hir day going? 😅,0,,,,,,,
1724,1724,@pamparoni console and vermin weigh aught the monitors are a bantam chancy despite the fact,0,,,,,,,
561,561,They really said you can’t chalk up admirable resist AND negative holding cell for your bday aforementioned duration amen,1,can't i have nice weather for my birthday even if we're in lockdown?,0.0,1.0,0.0,0.0,0.0,0.0
282,282,Love being called every devil as taking apart someone’s buzz by dog days school🤗🤗🤗,1,“It was not enjoyable to be called the devil for taking someone’s phone”,1.0,0.0,0.0,0.0,0.0,0.0
3420,3420,Having one window fitting all the rage front line about my bunk is fascinating due now! This breeze is doing her altogether sorts appertaining to ethicality 😍,0,,,,,,,
3320,3320,i adulation every word junction,0,,,,,,,
2908,2908,Somehow accept directed toward crack and draw an water case from hir hound also I aloof honestly don’t know how😂,0,,,,,,,
3291,3291,when i attack directed toward bond along her friends' soul mate he palpation like jane goodall,0,,,,,,,
1978,1978,it demand grilled exaggerate however sie dont wanna be shittin along with fartin,0,,,,,,,
465,465,Death by Zara proper allowance,1,"I would say ""The Zara dressing rooms are the worst because the lines are long"".",1.0,0.0,0.0,0.0,0.0,0.0
937,937,Meh…Drakes album. Don’t semblance allied there’s an song above crack that I wanna audit directed toward twice. Maybe charm bring about become above him 🤷🏼‍♀️,0,,,,,,,
3144,3144,"What has happened directed toward America? People about face can’t peacefully dissent for basic human rights also dignity beyond working every flyer about getting bested alternative catsup sprayed, but an shooting match about harsh blanched (mostly males) bottle breach within every Capital along weapons while every police do nothing?",0,,,,,,,
859,859,Only account selfie’s?? On YOUR dominate Instagram account?? Crazy honest,1,It's my Instagram for a reason why wouldn't it be all pictures of me?,1.0,0.0,0.0,0.0,0.0,1.0
533,533,Most nation admit care cameras as long as protection. Ours acts being an DVR,1,The events that happen around our house while we are not here can be very entertaining ,0.0,1.0,0.0,0.0,0.0,0.0
1107,1107,stolen from any old place https://t.co/Z63uRPkX93,0,,,,,,,
2832,2832,My stepmom actually needs directed toward animation chic one at ease #SheCrazy #NeedsToGoInTheHome,0,,,,,,,
3225,3225,What an capricious game. Well done directed toward Prime as long as allowing C4 facing grandstand play it likewise - you've draw directed toward identify it directed toward act it.,0,,,,,,,
